('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         765117 function calls (740712 primitive calls) in 2.025 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      356    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      356    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      353    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      349    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
      336    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      336    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
      334    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      331    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
      325    0.002    0.000    0.008    0.000 css_parser.py:1094(selector_iter)
      313    0.004    0.000    0.241    0.001 __init__.py:330(_compile)
      311    0.006    0.000    0.141    0.000 {method 'read' of '_io.BufferedReader' objects}
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      309    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      309    0.000    0.000    0.241    0.001 __init__.py:287(compile)
      309    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
      308    0.000    0.000    0.001    0.000 enum.py:78(_is_private)
      308    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
      304    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      299    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      292    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
      291    0.000    0.000    0.000    0.000 socket.py:744(readable)
      290    0.001    0.000    0.001    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      290    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      290    0.001    0.000    0.939    0.003 socket.py:706(readinto)
      290    0.933    0.003    0.933    0.003 {method 'read' of '_ssl._SSLSocket' objects}
      290    0.001    0.000    0.934    0.003 ssl.py:1129(read)
      290    0.002    0.000    0.936    0.003 ssl.py:1289(recv_into)
      287    0.001    0.000    0.005    0.000 typing.py:173(_type_check)
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      279    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      277    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      273    0.002    0.000    0.002    0.000 _compiler.py:389(_mk_bitmap)
      273    0.000    0.000    0.001    0.000 css_parser.py:334(match)
      266    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      266    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
      263    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      263    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      263    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      263    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
      263    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:304(acquire)
      263    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      263    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      258    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
      255    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      253    0.014    0.000    0.014    0.000 {built-in method _io.open_code}
      253    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
      253    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1214(get_data)
      251    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
  225/183    0.001    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
    223/4    0.002    0.000    0.547    0.137 <frozen importlib._bootstrap>:1349(_find_and_load)
      222    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      222    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      222    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
    222/4    0.001    0.000    0.547    0.137 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      221    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      220    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      220    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      220    0.003    0.000    0.063    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      220    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      217    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      217    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      216    0.000    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
      216    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      213    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      198    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      198    0.001    0.000    0.093    0.000 _compiler.py:576(_code)
      198    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      198    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
      198    0.001    0.000    0.234    0.001 _compiler.py:743(compile)
      198    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      198    0.001    0.000    0.139    0.001 _parser.py:970(parse)
      198    0.002    0.000    0.016    0.000 _compiler.py:514(_compile_info)
      197    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      196    0.001    0.000    0.002    0.000 enum.py:1603(__and__)
  196/192    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
    196/4    0.001    0.000    0.537    0.134 <frozen importlib._bootstrap>:911(_load_unlocked)
      196    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
      192    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      192    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      192    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
      186    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
      186    0.000    0.000    0.013    0.000 _parser.py:97(closegroup)
      182    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      182    0.000    0.000    0.002    0.000 typing.py:789(<genexpr>)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
    170/1    0.002    0.000    2.025    2.025 {built-in method builtins.exec}
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
  169/166    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      168    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      168    0.029    0.000    0.029    0.000 {built-in method marshal.loads}
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(<genexpr>)
      168    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
      168    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1209(get_filename)
    168/4    0.001    0.000    0.537    0.134 <frozen importlib._bootstrap_external>:1020(exec_module)
      168    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      168    0.003    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
      163    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      157    0.000    0.000    0.000    0.000 enum.py:1333(value)
      157    0.000    0.000    0.000    0.000 enum.py:199(__get__)
      144    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      142    0.000    0.000    0.000    0.000 {method 'isascii' of 'str' objects}
  136/131    0.000    0.000    0.002    0.000 css_parser.py:375(_freeze_relations)
      136    0.000    0.000    0.004    0.000 css_types.py:203(__init__)
      136    0.001    0.000    0.001    0.000 css_parser.py:359(__init__)
  136/131    0.001    0.000    0.006    0.000 css_parser.py:385(freeze)
      134    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      130    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      128    0.003    0.000    0.008    0.000 _compiler.py:470(_get_charset_prefix)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      127    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
  125/123    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      125    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
      121    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
  121/103    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      121    0.001    0.000    0.005    0.000 typing.py:1423(__init__)
      120    0.000    0.000    0.004    0.000 _markupbase.py:165(parse_comment)
      120    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
      116    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
      114    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      113    0.000    0.000    0.001    0.000 typing.py:1639(<genexpr>)
      112    0.000    0.000    0.000    0.000 ipaddress.py:574(__int__)
      110    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      105    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      104    0.000    0.000    0.000    0.000 enum.py:917(<lambda>)
       99    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       93    0.005    0.000    0.005    0.000 {built-in method posix.getcwd}
       92    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       89    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       85    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
