('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         667042 function calls (646267 primitive calls) in 2.028 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      108    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      506    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      257    0.000    0.000    0.001    0.000 enum.py:695(__call__)
       84    0.000    0.000    0.001    0.000 css_parser.py:798(parse_combinator)
      120    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
      321    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      140    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      255    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
       89    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      507    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      289    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
       38    0.000    0.000    0.003    0.000 typing.py:753(Union)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
       91    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
       21    0.000    0.000    0.002    0.000 client.py:567(_get_chunk_left)
       52    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
      108    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      273    0.000    0.000    0.001    0.000 css_parser.py:334(match)
      261    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      577    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
        1    0.000    0.000    1.646    1.646 financial_enhanced.py:9(main)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
        1    0.000    0.000    0.124    0.124 dammit.py:1(<module>)
      130    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      307    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      257    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
      266    0.000    0.000    0.193    0.001 __init__.py:287(compile)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
      452    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 ssl.py:1361(_real_close)
       71    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      452    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
      706    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      576    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      233    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      115    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.171    0.171 client.py:591(_read_chunked)
        1    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
      706    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       21    0.000    0.000    0.000    0.000 client.py:537(_read_next_chunk_size)
      147    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      155    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       37    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      265    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.003    0.003 quoprimime.py:1(<module>)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       91    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      289    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      310    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
      112    0.000    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      138    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       38    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        1    0.000    0.000    0.000    0.000 feedparser.py:472(_parse_headers)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
    42/30    0.000    0.000    0.021    0.001 css_parser.py:569(parse_pseudo_class)
       98    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
        3    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      263    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      375    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      195    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.117    0.117 css_parser.py:1(<module>)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        1    0.000    0.000    0.019    0.019 ssl.py:1(<module>)
        1    0.000    0.000    0.010    0.010 socket.py:1(<module>)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       35    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      155    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      261    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       40    0.000    0.000    0.169    0.004 client.py:635(_safe_read)
       50    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      174    0.000    0.000    0.001    0.000 typing.py:164(_type_convert)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:375(_freeze_relations)
      115    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.104    0.104 request.py:1(<module>)
      112    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
    44/33    0.000    0.000    0.140    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      114    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
    21/19    0.000    0.000    0.029    0.002 <frozen importlib._bootstrap_external>:1318(create_module)
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      147    0.000    0.000    0.000    0.000 enum.py:199(__get__)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2307(__init__)
        4    0.000    0.000    0.001    0.000 feedparser.py:218(_parsegen)
      257    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      391    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      280    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
        1    0.000    0.000    0.010    0.010 parse.py:1(<module>)
      169    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      264    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       87    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
    38/29    0.000    0.000    0.020    0.001 css_parser.py:732(parse_pseudo_open)
        1    0.000    0.000    0.064    0.064 client.py:1(<module>)
      140    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       27    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
       52    0.000    0.000    0.001    0.000 ipaddress.py:1930(__init__)
        1    0.000    0.000    0.010    0.010 shutil.py:1(<module>)
      161    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.016    0.008 utils.py:1(<module>)
      130    0.000    0.000    0.012    0.000 _parser.py:97(closegroup)
        1    0.000    0.000    0.258    0.258 element.py:1(<module>)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       41    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
        1    0.000    0.000    0.004    0.004 base64.py:1(<module>)
       66    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      106    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      278    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      155    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
       47    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.057    0.057 ssl.py:990(_create)
        6    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
        1    0.000    0.000    0.001    0.001 dammit.py:734(UnicodeDammit)
      114    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
       35    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
      283    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       56    0.000    0.000    0.003    0.000 _htmlparser.py:127(handle_startendtag)
        7    0.000    0.000    0.000    0.000 message.py:498(get)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1512(__init__)
      140    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x10443a480}
      160    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       17    0.000    0.000    0.001    0.000 enum.py:498(__new__)
      177    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      142    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
      182    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.002    0.002 __init__.py:133(BeautifulSoup)
       21    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1326(exec_module)
        1    0.000    0.000    0.000    0.000 element.py:346(PageElement)
    16/12    0.000    0.000    0.150    0.013 {built-in method builtins.__import__}
   105/87    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
        1    0.000    0.000    0.028    0.028 request.py:539(build_opener)
      155    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      119    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
      108    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      264    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
        1    0.000    0.000    0.405    0.405 __init__.py:209(__init__)
      115    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
       19    0.000    0.000    0.002    0.000 typing.py:806(Optional)
