('Total Revenue', '261,802,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         763004 function calls (738593 primitive calls) in 2.647 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.001    0.000 ipaddress.py:1661(_ip_int_from_string)
      502    0.000    0.000    0.001    0.000 typing.py:1096(__eq__)
      263    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       76    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
      540    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.001    0.001 feedparser.py:472(_parse_headers)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
      189    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
    68/37    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      122    0.000    0.000    0.003    0.000 _htmlparser.py:285(handle_comment)
      273    0.000    0.000    0.001    0.000 css_parser.py:334(match)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      213    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      514    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      356    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
       12    0.000    0.000    0.001    0.000 enum.py:1455(_missing_)
      308    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       21    0.000    0.000    0.002    0.000 <frozen zipimport>:68(__init__)
      308    0.000    0.000    0.001    0.000 css_parser.py:238(css_unescape)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
        2    0.000    0.000    0.001    0.000 cookiejar.py:466(parse_ns_headers)
      293    0.000    0.000    0.000    0.000 socket.py:744(readable)
      266    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        2    0.000    0.000    0.000    0.000 ssl.py:669(verify_mode)
        1    0.000    0.000    0.000    0.000 _local.py:482(Path)
      198    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:758(_validate_hash_pyc)
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      220    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.021    0.021 socket.py:1(<module>)
       35    0.000    0.000    0.002    0.000 ipaddress.py:2307(__init__)
       58    0.000    0.000    0.149    0.003 client.py:635(_safe_read)
        1    0.000    0.000    2.647    2.647 financial.py:1(<module>)
        2    0.000    0.000    0.097    0.049 connection.py:1(<module>)
    24/21    0.000    0.000    0.067    0.003 <frozen importlib._bootstrap_external>:1318(create_module)
      341    0.000    0.000    0.000    0.000 typing.py:1437(__eq__)
       69    0.000    0.000    0.001    0.000 css_parser.py:532(parse_tag_pattern)
        2    0.000    0.000    0.014    0.007 request.py:1(<module>)
    29/16    0.000    0.000    0.571    0.036 {built-in method builtins.__import__}
      280    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
      586    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      182    0.000    0.000    0.003    0.000 typing.py:789(<genexpr>)
      247    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
       38    0.000    0.000    0.014    0.000 response.py:469(_decode)
       22    0.000    0.000    0.003    0.000 typing.py:806(Optional)
       50    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
       54    0.000    0.000    0.004    0.000 typing.py:1658(copy_with)
      304    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      248    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
       89    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      249    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      221    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      250    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
        1    0.000    0.000    0.125    0.125 client.py:1(<module>)
       28    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
       63    0.000    0.000    0.004    0.000 typing.py:1023(__init__)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
      186    0.000    0.000    0.013    0.000 _parser.py:97(closegroup)
        2    0.000    0.000    0.012    0.006 models.py:1(<module>)
       52    0.000    0.000    0.001    0.000 ipaddress.py:1930(__init__)
      182    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.005    0.002 cookies.py:1(<module>)
       56    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
       30    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
       18    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
    42/30    0.000    0.000    0.021    0.001 css_parser.py:569(parse_pseudo_class)
      168    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       41    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        7    0.000    0.000    0.007    0.001 typing.py:2979(_make_nmtuple)
        1    0.000    0.000    0.011    0.011 parse.py:1(<module>)
        1    0.000    0.000    0.030    0.030 ssl.py:1(<module>)
      157    0.000    0.000    0.000    0.000 enum.py:199(__get__)
        1    0.000    0.000    0.295    0.295 element.py:1(<module>)
        1    0.000    0.000    0.126    0.126 css_parser.py:1(<module>)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1512(__init__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.048    0.048 adapters.py:1(<module>)
        1    0.000    0.000    0.009    0.009 random.py:1(<module>)
       21    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
      198    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
